"Bonjour,

Nous proposons un studio aménagé dans une ancienne cave entièrement refaite à neuf, équipé d’une cuisine complète ( plaque induction 2 foyers, four, micro-ondes, lave-vaisselle, petit frigo.)
Ouverte sur le salon avec une table de salle à manger, un canapé convertible pour le coin TV.

La chambre comporte un lit double en 140cm et une salle de bain équipée avec WC.

Une petite terrasse abritée en plein sud vous laissera profiter de l'extérieur, la cour étant fermée vous pourrez laisser votre véhicule devant le logement.

Un accès piscine est également disponible mais uniquement l’été, celle-ci n'étant pas chauffée.

Le studio fait partie de notre maison, nous vivons donc au-dessus du logement mais restons discret et disponible durant votre séjour.
Un adorable chien vit dans l'enceinte de la maison, il en est le gardien.

Nous sommes au coeur d'un petit village avec tous ces commerces, pas besoin de prendre la voiture tout est à 100m de la maison.

Le tarif d'une nuit et de 75euros pour les personnes en weekend ou en vacances.

Pour les travailleurs en déplacement qui souhaiterais rester sur de plus longues durées, merci de prendre contact avec nous pour convenir d'un tarif dégressif.

Au plaisir de vous accueillir en Ardèche !

Agathe & Benoit",,"['2 Pièces · ', '35 m² · ', 'Vernosc-lès-Annonay 07430 ']",Studio meublé
description,price,details,title
"Venez découvrir ce bel appartement 2 pièces de 39 m² entièrement rénové.
Meublé avec soin, cet appartement se compose d'un bel espace de vie lumineux d'environ 24 m² avec cuisine ouverte entièrement équipée, une chambre avec dressing, salle d'eau et WC. L'atout majeur de ce bien est sa terrasse située au calme d'environ 18 m².
Cet appartement est situé au rez-de-chaussée d'un immeuble de 2 étages sans ascenseur.
Emplacement idéal dans le 3ème arrondissement de Lyon, il est à proximité immédiate des transports en commun : 1km de la Part Dieu et 1.5 km de la manufacture des tabacs.
Le stationnement est gratuit dans la rue.
Si vous souhaitez davantage de photos n'hésitez pas à me contacter.
Zone soumise à l'encadrement des loyers : Loyer de référence : 14.10 €/ m²; loyer de référence majoré : 16.90 € /m², complément de loyer 246.51 € (terrasse, canapé, téléviseur, table basse, meuble téléviseur, table à manger, 4 chaises, 2 tabourets, four, plaque de cuisson, hotte, micro-onde, congélateur, réfrigérateur, vaisselle, ustensiles de cuisine, machine à laver, fer à repasser, aspirateur, literie, couette, oreillers...)
Loyer de 990 euros / mois charges comprises dont 40 euros par mois de provision pour charges (soumis à la régularisation annuelle).
DPE : 249 KWH / m² / an
Emission de gaz à effet de serre : 7 CO2 / m² / an
Dépôt de garantie : 1900 euros
Montant des charges : 40 € / mois",,"['2 Pièces · ', '39 m² · ', 'Lyon 69003 ']",Appartement meublé à louer - LYON 3
description,price,details,title
"Je propose une sous location pour 2 semaines dans un appartement très lumineux 
3eme étage avec ascenseur 
1 chambre 
1 salle d’eau et WC séparé 
1 séjour avec table et grande TV
1 cuisine toute équipée (four, lave vaisselle, frigo)
Tout est compris dans le prix 
700€ pour une semaine 
1200€ pour deux semaines",,"['2 Pièces · ', '50 m² · ', 'Paris 75006 ']",Sous location du 3 au 17 février
description,price,details,title
"Bonjour,
Au sein de la résidence KERLOR, à proximité de la RIA, de la gare SNCF, du vieux port et accès rapide à la route de Nantes / St Nazaire. A louer appartement T2 de 44 m2 + balcon de 5 m2 au 1er étage avec ascenseur. Composé d'un séjour avec cuisine aménagée, d'une chambre de 11.8 m2, d'une salle d'eau (meuble vasque, sèche serviette, douche à l'italienne) avec wc.
Chauffage individuel au gaz
Place de parking privée et sécurisée en sous-sol
Loyer de 520 € + 40 € de provisions pour charges de copropriété
Charges annuelles : provisions avec régularisation annuelle
Dépôt de garantie : 520 €
1er contact par mail avec dossier complet pour éligibilité à la GLI et Pinel :
-Pièce d'identité
-Dernier avis d'imposition
-3 derniers bulletins de salaire + Contrat de travail ou justificatif de retraite ou justificatif de revenus professionnel
Disponible à partir du 1er Février 2024",,"['2 Pièces · ', '44 m² · ', 'Pornic 44210 ', '· Quartier Gourmalon']",Location T2 Pornic
description,price,details,title
"Appartement disponible pour étudiant à partir de début Février 2024
Charmant T1 meublé très lumineux de 27 m²
A 50 mètres de l'église Notre Dame (Place du Marché) au cœur du centre-ville de Poitiers sur le plateau
Loyer: 430€ + 20€ de charges / mois
Sdb et WC séparés
Cuisine séparée du séjour par une baie coulissante

Equipement: plaques électrique, hotte, frigo, micro-ondes, placards, bureau, table et chaises ...

Si vous êtes intéressé merci de me contacter par la messagerie du bon coin,",,"['1 Pièce · ', '27 m² · ', 'Poitiers 86000 ']",Appartement T1 27m2 meublé
description,price,details,title
